Date,Daily Average CO (mg/m3),Daily Average NO (ug/m3),Daily Average NO2 (ug/m3),Daily Average SO2 (ug/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2023-02-20,0.1570284,29.5428772,20.162302,,5.4708333,15.7708333,223,1.8,222,9.8,167,0.0,17.8,15.4,76.0,23.4,13.1,-,-,-,-,-,-,1023.5,1022.8,-,25.27,5931.331615120275,593.6975308641976
2023-02-21,0.207078,37.7016563,22.115036,,8.4958333,23.4541666,239,0.4,238,10.8,321,1.0,20.8,19.5,88.0,32.0,13.8,-,-,-,-,-,-,1018.8,1018.1,-,25.99,5694.105802047781,542.530612244898
2023-02-22,0.0907234,10.8592968,12.8447657,,1.6833334,3.9,218,4.1,146,11.8,262,22.6,14.7,14.2,94.0,14.7,14.0,-,-,-,-,-,-,1016.0,1015.3,-,5.49,5820.865187713311,552.5244897959184
2023-02-23,0.1382979,18.0900002,15.41259,,2.5708333,4.325,226,2.1,239,8.2,195,9.8,10.1,9.7,95.0,15.3,9.7,-,-,-,-,-,-,1021.5,1020.8,-,8.41,6381.595563139932,568.9122448979592
2023-02-24,0.2439149,39.8200722,21.8827343,,3.0208333,5.7958333,214,2.2,-,-,-,-,10.4,10.1,96.0,-,7.4,-,-,-,-,-,-,1028.6,1027.9,-,-,4916.77508650519,281.9877551020408
2023-02-25,0.2126596,30.250288,18.993166,,2.85,6.7458334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4790.40701754386,273.8381742738589
2023-02-26,0.101234,12.797842,11.7737408,,2.3833333,6.8791667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5682.266666666666,596.5892116182573
2023-02-27,0.1472766,25.4425907,18.0927334,,2.9034285,8.7267528,-,-,-,-,-,-,-,-,-,23.2,-,-,-,-,-,-,-,-,-,-,-,5896.097864768683,619.1307053941908
2023-02-28,0.2227099,40.6408768,22.9669342,,3.5327587,8.5769635,279,1.1,44,7.2,210,0.0,13.5,13.3,97.0,22.1,10.5,-,-,-,-,-,-,1017.6,1016.9,-,22.36,5995.4205776173285,627.9644351464435
2023-03-01,0.1356383,22.2398567,17.1891365,,5.0814958,11.1803498,48,3.7,54,11.3,308,0.0,16.7,13.9,72.0,21.2,13.4,-,-,-,-,-,-,1011.8,1011.1,-,20.37,6163.4838709677415,617.1244813278008
2023-03-02,0.2266312,34.013958,29.7878418,,10.4042614,39.110972,53,1.2,64,7.2,152,0.0,20.3,16.9,69.0,30.1,15.6,-,-,-,-,-,-,1007.3,1006.6,-,23.25,6375.681003584229,621.0248962655602
2023-03-03,0.2907376,39.8274803,30.0353966,,13.3947024,27.7753612,121,1.2,210,9.3,220,1.0,16.5,15.7,92.0,25.7,14.3,-,-,-,-,-,-,1009.7,1009.0,-,12.02,4691.763440860215,277.5103734439834
2023-03-04,0.1373121,18.0749645,13.1879854,,4.3940699,11.1853352,239,2.6,235,10.3,210,6.8,15.7,14.3,85.0,20.0,14.5,-,-,-,-,-,-,1011.4,1010.7,-,10.59,3992.5735849056605,228.08370044052865
2023-03-05,0.1250709,16.4220867,12.628273,,2.2431897,4.5033195,240,1.5,230,7.2,159,14.8,11.7,11.4,96.0,12.5,11.2,-,-,-,-,-,-,1015.6,1014.9,-,3.12,5589.549822064057,568.5164609053498
